Exercise Name,Equipment,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,No_of_Sets,No_of_Reps,BMI,gender,type of plan
Vertical Leg Raise:  Straight Leg,Weighted,Auxiliary,Isolated,Pull,"Place weight between ankles or use no weight. Position forearms on padded parallel bars with hands on handles, and back on vertical pad.","With knees straight, raise legs by flexing hips until thighs are just past parallel to floor. Return until hips are extended. Repeat.",Hip Flexors,"Rectus Abdominis, Obliques, Quadriceps, Latissimus Dorsi, Pectoralis Minor, Pectoralis Major, Sternal, Coracobrachialis, Trapezius, Lower, ",Hips,5,"Rectus Abdominis, Hip Flexors",4,11,22.55428939661861,male,weight gain
Leg Raises,Body Weight,Auxiliary,Isolated,Pull,Grasp and hang from high bar with slightly wider than shoulder width overhand grip.,Raise legs by flexing hips and knees until hips are completely flexed or knees are well above hips. Return until hips and knees are extended downward. Repeat.,Hip Flexors,"Rectus Abdominis, Obliques, ",Hips,3,"Rectus Abdominis, Hip Flexors",3,12,23.88240400556351,male,weight gain
"Leg Raises:  Hanging Leg Raise

with ab straps
Straight Leg

",Body Weight,Auxiliary,Isolated,Pull,Grasp and hang from high bar with slightly wider than shoulder width overhand grip.,Raise legs by flexing hips and knees until hips are completely flexed or knees are well above hips. Return until hips and knees are extended downward. Repeat.,Hip Flexors,"Rectus Abdominis, Obliques, ",Hips,5,"Rectus Abdominis, Hip Flexors",4,8,22.34066671713022,male,weight gain
"Leg Raises:  Incline Leg Raise

arms on pads

",Body Weight,Auxiliary,Isolated,Pull,Lie supine on incline board with torso elevated. Grasp feet hooks or sides of board for support.,Raise legs by flexing hips and knees until hips are completely flexed. Return until hips and knees are extended. Repeat.,Hip Flexors,"Rectus Abdominis, Obliques, Pectoralis Major, Sternal, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Triceps, Long Head, Coracobrachialis, ",Hips,3,"Rectus Abdominis, Hip Flexors",3,9,22.36907131395888,male,weight gain
"Leg Raises:  Incline Straight Leg Raise

arms on pads

",Body Weight,Auxiliary,Isolated,Pull,Sit on incline board. Lie supine on incline board with torso elevated. Grasp feet rollers or sides of board for support.,"With knees straight, raise legs by flexing hips until hips are completely flexed. Return until hips and knees are extended. Repeat.",Hip Flexors,"Rectus Abdominis, Obliques, Quadriceps, Pectoralis Major, Sternal, Latissimus Dorsi, Teres Major, Deltoid, Posterior, Triceps, Long Head, Coracobrachialis, ",Hips,4,"Rectus Abdominis, Hip Flexors",5,9,23.40211173095192,male,weight gain
"Leg Raises:  Lying Leg Raise

Alternating
on floor

",Body Weight,Auxiliary,Isolated,Pull,Lie supine on bench. Place hands under lower buttock on each side to support pelvis.,Raise legs by flexing hips and knees until thighs are completely flexed. Return until hips and knees are extended. Repeat.,Hip Flexors,"Rectus Abdominis, Obliques, Quadriceps, ",Hips,2,"Rectus Abdominis, Hip Flexors",4,12,22.27764239376947,male,weight gain
"Leg Raises:  Lying Straight Leg Raise

Alternating

",Body Weight,Auxiliary,Isolated,Pull,Lie supine on bench or mat. Place hands under lower buttock on each side to support pelvis.,"Keeping knees straight, raise legs by flexing hips until hips are completely flexed. Return until hips and knees are extended. Repeat.",Hip Flexors,"Rectus Abdominis, Obliques, Quadriceps, ",Hips,3,"Rectus Abdominis, Hip Flexors",5,9,22.689769477481065,male,weight gain
Leg Raises:  Seated Leg Raise,Body Weight,Auxiliary,Isolated,Pull,Sit on edge of bench with legs extended to floor. Place weight between ankles or use no weight. Grasp edge of bench. Lean torso back and balance body weight on edge of bench.,Raise legs by flexing hips and knees while pulling torso slightly forward to maintain balance. Return by extending hips and knees and lean torso back to counter balance. Repeat.,Hip Flexors,"Rectus Abdominis, Obliques, ",Hips,2,"Rectus Abdominis, Hip Flexors",5,10,22.841909541932363,male,weight gain
"Leg Raises:  Vertical Leg Raise

on parallel bars
Straight Leg

",Body Weight,Auxiliary,Isolated,Pull,"Position forearms on padded parallel bars with hands on handles, and back on vertical pad.",Raise legs by flexing hips and knees until hips are completely flexed or knees are well above hips. Return until hips and knees are extended. Repeat.,Hip Flexors,"Rectus Abdominis, Obliques, Latissimus Dorsi, Pectoralis Minor, Pectoralis Major, Sternal, Coracobrachialis, Trapezius, Lower, ",Hips,5,"Rectus Abdominis, Hip Flexors",4,11,22.235499165290378,male,weight gain
Jack-knife on Ball,Body Weight,Auxiliary,Isolated,Pull,"Kneel with chest or waist on exercise ball. Dive over top and place hands on floor with arms extended down supporting upper body. While keeping body horizontal, walk hands further away from ball until shins are positioned on top of ball. With arms vertical and straight, support body off of floor with body straight. See suggestedmount onto exercise ball.","Bend hips and knees, allowing shins to roll over top of ball. Pull knees toward chest until heels are under or near glutes. Return by extending hips and knees to original position. Repeat.",Hip Flexors,"Rectus Abdominis, Obliques, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Serratus Anterior, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, Quadriceps, ",Hips,3,"Rectus Abdominis, Hip Flexors",4,10,22.562042699066577,male,weight gain
Roman Chair Sit-up,Body Weight,Auxiliary,Isolated,Pull,"Sit on chair or bench with lower leg secured under low over hang or heavy bar. Place hands on waist, chest, neck, or head depending upon desired difficulty.",Lower body back until hips are almost extended. Raise body by flexing hips until torso is upright. Repeat.,Hip Flexors,"Rectus Abdominis, Obliques, ",Hips,3,"Rectus Abdominis, Hip Flexors",4,10,23.371841681404987,male,weight gain
Scissor Kick,Body Weight,Auxiliary,Isolated,Pull,"Lie supine on bench or mat. Place hands under lower buttock on each side to support pelvis. Raise one leg up vertical with knee nearly straight. If lying on floor, raise other leg slightly off of floor.","Keeping knees nearly straight, simultaneously change positions of legs so vertical leg is lowered while lower leg is raised vertically. Continue alternating leg positions.",Hip Flexors,"Rectus Abdominis, Obliques, Quadriceps, ",Hips,3,"Rectus Abdominis, Hip Flexors",5,8,23.607695323626803,male,weight gain
Wheel,Body Weight,Auxiliary,Isolated,Pull,"With feet strapped topower wheel,kneel on floor. Place hands shoulder width apart on floor. With arms vertical and straight, support body off of floor while rollingpower wheelback until body is straight.","Bend hips and knees, pulling legs under body. Pull bent knees toward chest, allowing rear end to raise upward. Return by extending hips and knees to original position. Repeat.",Hip Flexors,"Rectus Abdominis, Obliques, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Serratus Anterior, Pectoralis Minor, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, Quadriceps, ",Hips,3,"Rectus Abdominis, Anterior Deltoid",3,10,22.603585281874324,male,weight gain
Wheel:  Jack-Knife,Body Weight,Auxiliary,Isolated,Pull,"With feet strapped topower wheel,kneel on floor. Place hands shoulder width apart on floor. With arms vertical and straight, support body off of floor while rollingpower wheelback until body is straight.","Bend hips and knees, pulling legs under body. Pull bent knees toward chest, allowing rear end to raise upward. Return by extending hips and knees to original position. Repeat.",Hip Flexors,"Rectus Abdominis, Obliques, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Serratus Anterior, Pectoralis Minor, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, Quadriceps, ",Hips,4,"Rectus Abdominis, Hip Flexors",3,7,22.694130754859103,male,weight gain
Wheel:  Rollout,Body Weight,Auxiliary,Isolated,Pull,"Kneel on floor or mat. Grasp handles on wheel to each side with overhand grip. Position wheel near front of knees and lean over wheel with arms extended downward, supporting upper body.","With arms straight, roll wheel out as far as possible. Lower body gently to floor extending arms forward. Raise body back up by flexing hips and pulling arms back to original position. Return until hips are extended. Repeat.",Hip Flexors,"Rectus Abdominis, Obliques, Triceps Brachii, Pectoralis Major, Clavicular, Coracobrachialis, Serratus Anterior, Wrist Flexors, ",Hips,4,"Rectus Abdominis, Anterior Deltoid",5,7,22.644548435675294,male,weight gain
Wheel:  Pike,Body Weight,Auxiliary,Isolated,Pull,"With feet strapped topower wheel,kneel on floor. Place hands shoulder width apart on floor. With arms vertical and straight, support body off of floor while rollingpower wheelback until body is straight.","From plank position, raise rear end up as high as possible by bending hips. Pullpower wheeltoward hands while keeping knees straight. Return by extending hips to original position.   Repeat.",Hip Flexors,"Rectus Abdominis, Obliques, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Serratus Anterior, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, Quadriceps, ",Hips,4,"Rectus Abdominis, Hip Flexors",5,8,23.58323999204645,male,weight gain
Discs,Body Weight,Auxiliary,Isolated,Pull,"Kneel on floor with forefeet ongliding discs. Place hands shoulder width apart on floor. With arms vertical and straight, support body off of floor while slidinggliding discsback until body is straight.","From plank position, raise rear end up as high as possible by bending hips. Pullgliding discstoward hands while keeping knees straight. Return by extending hips to original position. Repeat.",Hip Flexors,"Rectus Abdominis, Obliques, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Serratus Anterior, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, Quadriceps, ",Hips,3,"Rectus Abdominis, Obliques",4,11,23.71210380681136,male,weight gain
Discs:  Pike,Body Weight,Auxiliary,Isolated,Pull,"Kneel on floor with forefeet ongliding discs. Place hands shoulder width apart on floor. With arms vertical and straight, support body off of floor while slidinggliding discsback until body is straight.","From plank position, raise rear end up as high as possible by bending hips. Pullgliding discstoward hands while keeping knees straight. Return by extending hips to original position. Repeat.",Hip Flexors,"Rectus Abdominis, Obliques, Pectoralis Major, Sternal, Pectoralis Major, Clavicular, Pectoralis Minor, Serratus Anterior, Deltoid, Anterior, Triceps Brachii, Coracobrachialis, Quadriceps, ",Hips,4,"Rectus Abdominis, Hip Flexors",5,11,23.765679490211724,male,weight gain
Mountain Climber,Suspended,Auxiliary,Compound,Pull,"Sit on floor facing suspension trainer loops in low position. Place right foot in left lower loop. Cross left leg over right leg placed in right lower loop. Turn body to right and place hands on floor, shoulder width apart. Turn body to kneel on hands and knees. Reposition hands (shoulder width or slightly wider) at desired distance from suspension trainer so that body is square with suspension trainer straps. With arms straight, raise knees from ground so body is supported by arms and suspension trainer. Bend one leg so knee is pointing down while keeping other leg extended out straight.","Simultaneously alternate leg positions by straightening bent leg behind, while bending straight leg forward. Repeat.",Hip Flexors,"Rectus Abdominis, Obliques, Quadriceps, Pectoralis Major, Serratus Anterior, Triceps Brachii, Coracobrachialis, ",Hips,3,"Rectus Abdominis, Hip Flexors",5,11,22.35328848684069,male,weight gain
Pike,Suspended,Auxiliary,Isolated,Pull,"Sit on floor facing suspension trainer loops in low position. Place right foot in left lower loop. Cross left leg over right leg placed in right lower loop. Turn body to right and place hands on floor shoulder width apart. Turn body to kneel on hands and knees. Reposition hands (shoulder width or slightly wider) at desired distance from suspension trainer so that body is square with suspension trainer straps. With arms straight, raise knees from ground, so body is supported by arms and suspension trainer.","Raise rear end up as high as possible by bending hips. Pull feet toward hands, while keeping knees straight. Return by extending hips to original straight body position. Repeat.",Hip Flexors,"Rectus Abdominis, Obliques, Quadriceps, Pectoralis major, Deltoid, Anterior, Serratus Anterior, Trapezius, Upper, Trapezius, Middle, Trapezius, Lower, Triceps Brachii, Coracobrachialis, ",Hips,3,"Rectus Abdominis, Hip Flexors",5,9,22.21798508145741,male,weight gain
Lunge,Barbell,Auxiliary,Compound,Push,"Cleanbar from floor or dismount bar from rack. From rack with barbell upper chest height, position bar on back of shoulders and grasp barbell to sides.","Lunge forward with first leg. Land on heel, then forefoot. Lower body by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by forcibly extending hip and knee of forward leg. Repeat by alternating lunge with opposite leg.","Quadriceps,","Erector Spinae, Tibialis Anterior, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Thighs,3,"Quadriceps, Gluteus Maximus",3,8,23.402242237409368,male,weight gain
Lunge:  Rear Lunge,Barbell,Auxiliary,Compound,Push,"From rack with barbell upper chest height, position bar on back of shoulders and grasp barbell to sides. Dismount bar from rack.",Step back with one leg while bending supporting leg. Plant forefoot far back on floor. Lower body by flexing knee and hip of supporting leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward supporting leg and return rear leg next to supporting leg. Repeat movement with opposite legs alternating between sides.,"Quadriceps,","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Thighs,3,"Quadriceps, Gluteus Maximus",5,11,22.57347252246467,male,weight gain
Single Leg Split Squat,Barbell,Auxiliary,Compound,Push,Stand facing away from bench. Position bar on back of shoulders and grasp barbell to sides. Extend leg back and place top of foot on bench.,Squat down by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward leg. Repeat. Continue with opposite leg.,"Quadriceps,","Erector Spinae, Gluteus Medius, Gluteus Minimus, ",Thighs,4,"Quadriceps, Gluteus Maximus",3,7,23.869135805301504,male,weight gain
Single Leg Split Squat:  Side Split Squat,Barbell,Auxiliary,Compound,Push,Place barbell on back of shoulders and grasp bar on each side. Stand with feet wide apart; foot of lead leg angled out to side.,Lower body toward side of angled foot by bending knee and hip of lead leg while keeping opposite leg only slightly bent. Return to original standing position by extending hip and knee of lead leg. Repeat.,"Quadriceps,","Erector Spinae, Gluteus Medius, Gluteus Minimus, ",Thighs,4,"Quadriceps, Adductors",5,11,22.548592613714487,male,weight gain
Single Leg Split Squat:  Single Leg Squat,Barbell,Auxiliary,Compound,Push,Stand with arms extended out in front holding barbell. Balance on one leg with opposite leg extended forward off of ground.,Squat down as far as possible while keeping leg elevated off of floor. Keep   supporting knee pointed same direction as foot supporting. Raise body back up to original position until knee and hip of supporting leg is straight. Return and repeat. Continue with opposite leg.,"Quadriceps,","Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, Rectus Abdominis, Iliopsoas, Tensor Fasciae Latae, Pectineus, Sartorius, Quadriceps, Deltoid, Anterior, Pectoralis Major, Clavicular, Deltoid, Lateral, Trapezius, Upper, Trapezius, Middle, Trapezius, Lower, Serratus Anterior, Inferior Digitations, Levator Scapulae, Wrist Extensors, ",Thighs,5,"Quadriceps, Gluteus Maximus",3,7,23.47078186958031,male,weight gain
Squat,Barbell,Basic,Compound,Push,"From rack with barbell at upper chest height, position bar high on back of shoulders and grasp barbell to sides. Dismount bar from rack and stand with shoulder width stance.","Squat down by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet.   Descend until thighs are just past parallel to floor. Extend knees and hips until legs are straight. Return and repeat.","Quadriceps,","Erector Spinae, ",Thighs,3,"Quadriceps, Gluteus Maximus",4,9,22.647037671069924,male,weight gain
Squat:  Front Squat,Barbell,Auxiliary,Compound,Push,"From rack with barbell upper chest height, position bar in front of shoulders. Cross arms and place hands on top of barbell with upper arms parallel to floor. Dismount bar from rack.","Squat down by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel. Extend knees and hips until legs are straight. Return and repeat.","Quadriceps,","Erector Spinae, Deltoid, Anterior, Deltoid, Lateral, Supraspinatus, Pectoralis Major, Clavicular, Coracobrachialis, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Trapezius, Lower, Serratus Anterior, ",Thighs,4,"Quadriceps, Gluteus Maximus",3,8,23.30744485570887,male,weight gain
Squat:  Trap Bar Squat,Barbell,Basic or Auxiliary,Compound,Push,Stand on platform under loaded trap bar. Squat down until thighs are just past parallel to floor with knees pointed same direction as feet and feet flat on platform. Grasp handles to sides. Posture chest up with back arched tightly.,Lift weight upward by extending knees and hips until straight. Pull shoulders back at top of lift if rounded. Return weights to floor by bending hips back while allowing knees to bend forward. Repeat.,"Quadriceps,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Rhomboids, ",Thighs,3,"Quadriceps, Gluteus Maximus",5,8,22.89076812839344,male,weight gain
Step-up,Barbell,Basic or Auxiliary,Compound,Push,Stand facing side of bench. Position bar on back of shoulders and grasp barbell to sides.,"Place foot of first leg on bench. Stand on bench by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to floor. Repeat first step with opposite leg, alternating first steps between legs.","Quadriceps,","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Thighs,3,"Quadriceps, Gluteus Maximus",4,8,22.503653245417404,male,weight gain
Rear Lunge,Cable,Auxiliary,Compound,Push,Stand between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.,Step back with one leg while bending supporting leg. Plant forefoot far back on floor. Lower body by flexing knee and hip of supporting leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward supporting leg and return rear leg next to supporting leg. Repeat movement with opposite legs alternating between sides.,"Quadriceps,","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Thighs,3,"Quadriceps, Gluteus Maximus",5,7,22.99969556167667,male,weight gain
Split Squat,Cable,Auxiliary,Compound,Push,Stand between two very low cable pulleys. Grasp stirrup attachments with each hand. Place one leg forward and opposite leg back to rear.,Squat down by flexing knee and hip of front leg. Allow heel of rear foot to rise up while knee of rear leg bends slightly until it almost makes contact with floor. Return to original straddle position by extending hip and knee of forward leg. Repeat. Continue with legs in opposite position.,"Quadriceps,","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Erector Spinae, Obliques, ",Thighs,3,"Quadriceps, Gluteus Maximus",5,9,22.927806132062667,male,weight gain
Squat,Cable,Basic or Auxiliary,Compound,Push,"Stand with feet shoulder width or slightly wider on platform between very low and close pulley cables. Squat down with knees slightly beyond foot, hips bent back behind, back straight, knees pointed same direction as feet, and shoulder above feet. Grasp stirrups to each side with arms straight.","Keeping chest high and back straight, raise stirrups by extending knees and hips until legs are straight. Squat down by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Squat down until thighs are just past parallel to floor. Return and repeat.","Quadriceps,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, ",Thighs,3,"Quadriceps, Gluteus Maximus",3,9,22.120596361352987,male,weight gain
Step Down,Cable,Auxiliary,Compound,Push,Grasp cable stirrup(s) with both hands. Place one foot on elevated platform positioned near or between low pulleys.,Raise body by extending knee and hip on platform until leg is straight. Return until foot of lower leg makes contact with lower platform or floor and repeat. Continue with opposite leg.,"Quadriceps,","Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Thighs,3,"Quadriceps, Gluteus Maximus",5,12,23.92333886255747,male,weight gain
Step-up,Cable,Basic or Auxiliary,Compound,Push,Stand behind elevated platform and low and close pulley cables to sides. Grasp stirrups at each side of platform. Stand upright with arms straight down at sides.,"Place foot of first leg on elevated platform. Stand on elevated platform by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to lower position. Repeat first step with opposite leg, alternating first steps between legs.","Quadriceps,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Thighs,3,"Quadriceps, Gluteus Maximus",4,7,23.91310292041568,male,weight gain
Lunge,Dumbbell,Auxiliary,Compound,Push,Stand with dumbbells grasped to sides.,"Lunge forward with first leg. Land on heel, then forefoot. Lower body by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by forcibly extending hip and knee of forward leg. Repeat by alternating lunge with opposite leg.","Quadriceps,","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Tibialis Anterior, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Thighs,3,"Quadriceps, Gluteus Maximus",4,12,22.279810960081385,male,weight gain
Lunge:  Rear Lunge,Dumbbell,Auxiliary,Compound,Push,Stand with dumbbells grasped to sides.,Step back with one leg while bending supporting leg. Plant forefoot far back on floor. Lower body by flexing knee and hip of supporting leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward supporting leg and return rear leg next to supporting leg. Repeat movement with opposite legs alternating between sides.,"Quadriceps,","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Thighs,3,"Quadriceps, Gluteus Maximus",5,12,23.949090493684487,male,weight gain
Split Squat,Dumbbell,Auxiliary,Compound,Push,Stand with dumbbells grasped to sides. Position feet far apart; one foot forward and other foot behind.,Squat down by flexing knee and hip of front leg. Allow heel of rear foot to rise up while knee of rear leg bends slightly until it almost makes contact with floor. Return to original standing position by extending hip and knee of forward leg. Repeat. Continue with opposite leg.,"Quadriceps,","Erector Spinae, Gluteus Medius, Gluteus Minimus, ",Thighs,3,"Quadriceps, Gluteus Maximus",5,12,22.42834194405045,male,weight gain
Squat,Dumbbell,Basic or Auxiliary,Compound,Push,Stand with dumbbells grasped to sides.,"Squat down by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet.   Descend until thighs are just past parallel to floor. Extend knees and hips until legs are straight. Return and repeat.","Quadriceps,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Rhomboids, ",Thighs,3,"Quadriceps, Gluteus Maximus",5,8,22.50891037161708,male,weight gain
Squat:  Front Squat,Dumbbell,Basic or Auxiliary,Compound,Push,Stand with dumbbells grasped to sides. Clean dumbbells up to shoulders so side of each dumbbell rests on top of each shoulder. Balance dumbbells on shoulder by holding on to dumbbells with elbows flaring outward. Position feet shoulder width or slightly narrower apart.,"Squat down by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel to floor. Extend knees and hips until legs are straight. Return and repeat.","Quadriceps,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, ",Thighs,4,"Quadriceps, Gluteus Maximus",4,9,23.67510533277245,male,weight gain
Step-up,Dumbbell,Basic or Auxiliary,Compound,Push,Stand with dumbbells grasped to sides facing side of bench.,Place foot of first leg on bench. Stand on bench by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to floor. Repeat first step with opposite leg alternating first steps between legs.,"Quadriceps,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Thighs,3,"Quadriceps, Gluteus Maximus",4,9,23.265923354897247,male,weight gain
Step-up:  Step Down,Dumbbell,Auxiliary,Compound,Push,Hold dumbbells in each hand down to sides and stand with one foot on bench. Position foot on bench to side slightly forward of straight knee.,Stand on bench by straightening leg and pushing body upward. Step down returning foot off of bench to floor and repeat. Continue with opposite position.,"Quadriceps,","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Thighs,3,"Quadriceps, Gluteus Maximus",5,6,22.882436065913165,male,weight gain
Leg Presses,Lever (plate loaded),Basic,Compound,Push,Sit on machine with back on padded support. Place feet on platform. Extend hips and knees. Release dock lever and grasp handles to sides.,Lower platform by flexing hips and knees until hips are completely flexed. Return by extending knees and hips. Repeat.,"Quadriceps,",,Thighs,3,"Quadriceps, Gluteus Maximus",3,10,22.14324092401373,male,weight gain
Leg Presses:  45° Leg Press,Lever (plate loaded),Basic,Compound,Push,Sit on machine with back on padded support. Place feet on platform. Extend hips and knees. Release dock lever and grasp handles to sides.,Lower platform by flexing hips and knees until hips are completely flexed. Return by extending knees and hips. Repeat.,"Quadriceps,",,Thighs,3,"Quadriceps, Gluteus Maximus",5,12,22.81192489808437,male,weight gain
Leg Presses:  Lying Leg Press,Lever (plate loaded),Basic,Compound,Push,Climb up steps to top of machine. Lie supine on horizontal padded platform with shoulders against pad. Place feet equally spaced on platform. Grip handles above shoulder pads.,Push lever platform away by extending hips and knees until knees are straight. Return lever platform by flexing hips and knees until knees are just short of complete flexion or until hips are completely flexed. Repeat.,"Quadriceps,",,Thighs,3,"Quadriceps, Gluteus Maximus",3,7,22.479066730485275,male,weight gain
Leg Presses:  Seated Leg Press,Lever (plate loaded),Basic,Compound,Push,Sit on machine with back on padded support. Place feet on platform. Grasp handles to sides.,Push platform(s) away by extending knees and hips until knees are fully extended. Return until hips are completely flexed. Repeat.,"Quadriceps,",,Thighs,3,"Quadriceps, Gluteus Maximus",4,8,23.96879836045141,male,weight gain
Single Leg Squat (plate loaded),Lever (plate loaded),Auxiliary,Compound,Push,Stand between handles facing away from fulcrum. Grasp both handles to sides and stand upright. Cross lower leg above knee of supporting leg.,"Bend knees forward slightly while allowing hips to bend back behind, keeping back straight and knees pointed same direction as feet. Squat down as low as possible. Extend knee and hip until leg is straight. Return and repeat. Continue with opposite leg.","Quadriceps,","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Thighs,4,"Quadriceps, Gluteus Maximus",4,8,22.134541019747104,male,weight gain
Split Squat,Lever (plate loaded),Auxiliary,Compound,Push,Stand between lever handles to sides. Place forefoot of one foot on floor to rear and other foot slightly forward. Squat down and grasp handles to sides.,"With chest high, lift lever by extending hips and knees to full extension. Return until knee of rear leg is almost in contact with floor. Repeat. Continue with opposite leg.","Quadriceps,","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Gluteus Medius, Gluteus Minimus, ",Thighs,3,"Quadriceps, Gluteus Maximus",4,7,23.41976437186819,male,weight gain
Squat,Lever (plate loaded),Basic,Compound,Push,Squat down to place shoulders under padded lever. Place feet shoulder width apart directly under shoulders. Extend knees and hips until legs are straight. Release support lever.,"Lower lever by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel to floor. Lift lever up by extending knees and hips until legs are straight. Repeat.","Quadriceps,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, ",Thighs,3,"Quadriceps, Gluteus Maximus",5,6,23.761259743171163,male,weight gain
Squat:  Barbell Machine,Lever (plate loaded),Basic,Compound,Push,"With bar upper chest height, position bar on back of shoulders and grasp bar to sides. Place feet under bar. Disengage bar by rotating bar back.","Squat down by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel to floor. Extend knees and hips until legs are straight. Return and repeat.","Quadriceps,","Erector Spinae, ",Thighs,3,"Quadriceps, Gluteus Maximus",5,9,22.403002905685387,male,weight gain
Leg Extension,Lever (selectorized),Auxiliary,Isolated,Push,Sit on apparatus with back against padded back support. Place front of lower legs under padded lever. Position knee articulation at same axis as lever fulcrum. Grasp handles to sides for support.,Move lever forward and upward by extending knees until legs are straight. Return lever to original position by bending knees. Repeat.,"Quadriceps,","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Brachioradialis, Brachialis, Biceps Brachii, ",Thighs,2,Quadriceps,5,9,23.31350562043377,male,weight gain
Leg Presses,Lever (selectorized),Basic,Compound,Push,Sit on machine with back on padded support. Place feet on platform. Grasp handles to sides.,Push platform away by extending knees and hips. Return and repeat.,"Quadriceps,",,Thighs,3,"Quadriceps, Gluteus Maximus",5,10,22.96867684775465,male,weight gain
Leg Presses:  Seated Leg Press,Lever (selectorized),Basic,Compound,Push,Sit on machine with back on padded support. Place feet on platform. Grasp handles to sides.,Push platform away by extending knees and hips. Return and repeat.,"Quadriceps,",,Thighs,3,"Quadriceps, Gluteus Maximus",3,6,22.058034774509345,male,weight gain
