Exercise Name,Equipment,Utility,Mechanics,Force,Preparation,Execution,Target_Muscles,Stabilizer_Muscles,Main_muscle,Difficulty (1-5),Secondary Muscles,No_of_Sets,No_of_Reps,BMI
Squat,Barbell,Basic,Compound,Push,"From rack with barbell at upper chest height, position bar low on back of shoulders. Grasp barbell to sides. Dismount bar from rack and stand with wide stance.",Squat down by flexing knee and hip of front leg. Allow heel of rear foot to rise up while knee of rear leg bends slightly until it almost makes contact with floor. Return to original standing position by extending hip and knee of forward leg. Repeat. Continue with opposite leg.,"Gluteus Maximus,","Erector Spinae, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",4,11,22.77999362
Squat:  Front Squat,Barbell,Auxiliary,Compound,Push,"From rack with barbell upper chest height, position bar in front of shoulders. Cross arms and place hands on top of barbell with upper arms parallel to floor. Dismount bar from rack.","Squat down by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel. Extend knees and hips until legs are straight. Return and repeat.","Gluteus Maximus,","Erector Spinae, Deltoid, Anterior, Deltoid, Lateral, Supraspinatus, Pectoralis Major, Clavicular, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Trapezius, Lower, Serratus Anterior, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",3,7,23.25921356
Squat:  Full Squat,Barbell,Basic,Compound,Push,"From rack with barbell upper chest height, position barbell on back of shoulders and grasp bar to sides. Dismount bar from rack.","Squat down by bending hips back while allowing knees to bend forward, keeping back straight and knees pointed same direction as feet. Descend until knees and hips are fully bent. Extend knees and hips until legs are straight. Return and repeat.","Gluteus Maximus,","Erector Spinae, ",Hips,5,"Quadriceps, Gluteus Maximus, Adductors",3,12,22.34935327
Squat:  Safety Squat,Barbell,Basic,Compound,Push,Standing facing safety barbell on rack upper chest height. Position head in yoke with padded bar around shoulders. Hands can be placed on ends of yoke (as shown) or on safety bar out to sides. Dismount bar from rack and step back.,"Squat down by bending hips back while allowing knees to bend slightly forward, keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel to floor. Stand by extending hips and knees until legs are straight. Repeat.","Gluteus Maximus,","Erector Spinae, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",4,9,22.63482472
Step-up,Barbell,Basic or Auxiliary,Compound,Push,Stand facing side of bench. Position bar on back of shoulders and grasp barbell to sides.,Place foot of first leg on bench. Stand on bench by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to floor. Repeat first step with opposite leg alternating first steps between legs.,"Gluteus Maximus,","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",5,9,23.25821233
Glute Kickback,Cable,Basic or Auxiliary,Compound,Push,Stand facing side of bench. Position bar on back of shoulders and grasp barbell to sides.,Place foot of first leg on bench. Stand on bench by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to floor. Repeat first step with opposite leg alternating first steps between legs.,"Gluteus Maximus,","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Hips,2,"Gluteus Maximus, Hamstrings",3,9,23.25692856
Rear Lunge,Cable,Auxiliary,Compound,Push,Stand between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.,Step back with one leg while bending supporting leg. Plant forefoot far back on floor. Lower body by flexing knee and hip of supporting leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward supporting leg and return rear leg next to supporting leg. Repeat movement with opposite legs alternating between sides.,"Gluteus Maximus,","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",4,10,23.88360865
Split Squat,Cable,Auxiliary,Compound,Push,"Facing low pulley, kneel to attach cable belt or dip belt around waist. Place hand(s) on ballet bar or machine (not on guide rod!) for balance. Stand away from pulley with one leg forward and opposite leg to rear.",Squat down by flexing knee and hip of front leg. Allow heel of rear foot to rise up while knee of rear leg bends slightly until it almost makes contact with floor. Return to original straddle position by extending hip and knee of forward leg. Repeat. Continue with legs in opposite position.,"Gluteus Maximus,",,Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",5,9,23.9969544
Split Squat:  Two Arms,Cable,Auxiliary,Compound,Push,Stand between two very low cable pulleys. Grasp stirrup attachments with each hand. Place one leg far forward and opposite leg far back to rear.,Squat down by flexing knee and hip of front leg. Allow heel of rear foot to rise up while knee of rear leg bends slightly until it almost makes contact with floor. Return to original straddle position by extending hip and knee of forward leg. Repeat. Continue with legs in opposite position.,"Gluteus Maximus,","Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Erector Spinae, Obliques, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",4,7,23.97320895
Squat,Cable,Basic or Auxiliary,Compound,Push,Stand with feet shoulder width or slightly wider on platform between very low and close pulley cables. Squat down with knees slightly beyond foot and shoulder above feet. Grasp stirrups to each side with arms straight.,"Keeping chest high and back straight, raise stirrups by extending knees and hips until legs are straight. Squat down by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet. Squat down until thighs are just past parallel to floor. Return and repeat.","Gluteus Maximus,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",5,10,23.17618059
Standing Hip Extension,Cable,Auxiliary,Isolated,Push,"Attach ankle cuff to low pulley. With cuff on one ankle, grasp ballet bar with both hands and step back with other foot. Elbows remain straight. Attached leg is straight and foot is slightly off floor.",Pull cable attachment back by extending hip. Return leg to original position. Repeat. Continue with opposite leg.,"Gluteus Maximus,","Erector Spinae, Obliques, Quadratus Lumborum, Gluteus Medius, Gluteus Minimus, ",Hips,2,"Gluteus Maximus, Hamstrings",4,7,22.27034482
Standing Hip Extension:  Bent-over,Cable,Auxiliary,Isolated,Push,"Attach ankle cuff to low pulley. With cuff on one ankle, grasp ballet bar with both hands and step far back with other foot. Arms remain extended to support body leaning forward. Leg with ankle cuff attached in slightly bent with foot off floor.",Pull cable attachment back by extending hip. Return leg to original position and repeat. Continue with opposite leg.,"Gluteus Maximus,","Obliques, Erector Spinae, Quadratus Lumborum, Gluteus Medius, Gluteus Minimus, ",Hips,2,"Gluteus Maximus, Hamstrings",3,6,23.69679572
Step-up,Cable,Basic or Auxiliary,Compound,Push,Stand behind elevated platform and low and close pulley cables to sides. Grasp stirrups at each side of platform. Stand upright with arms straight down at sides.,Place foot of first leg on elevated platform. Stand on elevated platform by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to lower position. Repeat first step with opposite leg alternating first steps between legs.,"Gluteus Maximus,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",4,12,22.92209735
Stiff-leg Deadlift,Cable,Basic or Auxiliary,Compound,Pull,Stand on elevated platform between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.,"Bow forward by bending hips. Bend knees slightly during descent and keep waist straight, flexing low back at bottom. With knees slightly bent, raise torso by extending at waist, then hips, gradually extending knees until standing upright. Pull shoulders back slightly if rounded. Repeat.","Gluteus Maximus,","Quadriceps, Trapezius, Middle, Rhomboids, Latissimus Dorsi, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ",Hips,4,"Erector Spinae, Hamstrings",4,7,23.65528324
Stiff-leg Deadlift:  Straight-back,Cable,Auxiliary,Isolated,Pull,Stand between two very low pulleys with shoulder width or narrower stance. Squat down and grasp stirrup attachments to each side. Stand upright with arms straight down to sides.,"With back straight, bow forward by bending hips and bend knees slightly during descent. Raise torso by extending hips while gradually extending knees until standing upright. Pull shoulders back slightly if rounded. Repeat.","Gluteus Maximus,","Erector Spinae, Quadriceps, Trapezius, Middle, Rhomboids, Latissimus Dorsi, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ",Hips,4,"Erector Spinae, Hamstrings",4,11,22.91900311
Lunge,Dumbbell,Auxiliary,Compound,Push,Stand with dumbbells grasped to sides.,Lunge forward with first leg. Land on heel then forefoot. Lower body by flexing knee and hip of front leg until knee of rear leg is almost in contact with floor. Return to original standing position by forcibly extending hip and knee of forward leg. Repeat by alternating lunge with opposite leg.,"Gluteus Maximus,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Tibialis Anterior, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",5,7,22.54872507
Lunge:  Rear Lunge,Dumbbell,Auxiliary,Compound,Push,Stand with dumbbells grasped to sides.,Step back with one leg while bending supporting leg. Plant forefoot far back on floor. Lower body by flexing knee and hip of supporting leg until knee of rear leg is almost in contact with floor. Return to original standing position by extending hip and knee of forward supporting leg and return rear leg next to supporting leg. Repeat movement with opposite legs alternating between sides.,"Gluteus Maximus,","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",5,12,23.80109991
Split Squat,Dumbbell,Auxiliary,Compound,Push,Stand with dumbbells grasped to sides. Stand with feet far apart; one foot forward and other foot behind.,Squat down by flexing knee and hip of front leg. Allow heel of rear foot to rise up while knee of rear leg bends slightly until it almost makes contact with floor. Return to original standing position by extending hip and knee of forward leg. Repeat. Continue with opposite leg.,"Gluteus Maximus,","Erector Spinae, Gluteus Medius, Gluteus Minimus, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",4,6,22.32376252
Squat,Dumbbell,Basic or Auxiliary,Compound,Push,Stand with dumbbells grasped to sides.,"Squat down by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet.   Descend until thighs are just past parallel to floor. Extend knees and hips until legs are straight. Return and repeat.","Gluteus Maximus,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Rhomboids, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",3,12,23.25071628
Squat:  Front Squat,Dumbbell,Basic or Auxiliary,Compound,Push,Stand with dumbbells grasped to sides. Clean dumbbells up to shoulders so side of each dumbbell rests on top of each shoulder. Balance dumbbells on shoulder by holding on to dumbbells with elbows flaring outward. Position feet shoulder width or slightly narrower apart.,"Squat down by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet.   Descend until thighs are just past parallel to floor. Extend knees and hips until legs are straight. Return and repeat.","Gluteus Maximus,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",4,6,23.49154649
Step-up,Dumbbell,Basic or Auxiliary,Compound,Push,Stand with dumbbells grasped to sides facing side of bench.,"Place foot of first leg on bench. Stand on bench by extending hip and knee of first leg and place foot of second leg on bench. Step down with second leg by flexing hip and knee of first leg. Return to original standing position by placing foot of first leg to floor. Repeat first step with opposite leg, alternating first steps between legs.","Gluteus Maximus,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",4,10,22.96162919
Step-up:  Step Down,Dumbbell,Auxiliary,Compound,Push,"Hold dumbbells in each hand down to sides and stand with one foot on bench. Position foot on bench to side, forward of straight knee.",Stand on bench by straightening leg and pushing body upward. Step down returning foot off of bench to floor and repeat. Continue with opposite position.,"Gluteus Maximus,","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",3,12,22.89436345
Deadlift,Lever (plate loaded),Basic,Compound,Pull,Stand between lever handles to sides. Squat down with feet flat and grasp handles to sides.,"Lift lever by extending hips and knees to full extension. Pull shoulders back at top of lift if rounded. Return weight by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet. Repeat.","Gluteus Maximus,","Erector Spinae, Trapezius, Middle, Trapezius, Upper, Levator Scapulae, Rhomboids, ",Hips,5,"Erector Spinae, Trapezius, Quadriceps",4,6,22.76548578
"Deadlift:  Stiff-leg Deadlift

Straight-back

",Lever (plate loaded),Basic or Auxiliary,Compound,Pull,Stand between lever handles with shoulder width or narrower stance. Squat down and grasp handles to each side. Stand upright with arms straight down to sides.,"Bow forward by bending hips. Bend knees slightly during descent and keep waist straight, flexing low back at bottom. With knees slightly bent, raise torso by extending at waist, then hips, gradually extending knees until standing upright. Pull shoulders back slightly if rounded. Repeat.","Gluteus Maximus,","Quadriceps, Trapezius, Middle, Rhomboids, Latissimus Dorsi, Trapezius, Upper, Levator Scapulae, Trapezius, Lower, ",Hips,4,"Erector Spinae, Hamstrings",3,7,23.21694683
Leg Presses,Lever (plate loaded),Basic,Compound,Push,Sit on machine with back on padded support. Place feet slightly high on platform. Extend hips and knees. Release dock lever and grasp handles to sides.,Flex hips and knees to lower lever until hips are completely flexed. Push platform by extending knees and hips. Repeat.,"Gluteus Maximus,",,Hips,3,"Quadriceps, Gluteus Maximus, Adductors",4,8,22.35174902
Leg Presses:  45° Leg Press,Lever (plate loaded),Basic,Compound,Push,Sit on machine with back on padded support. Place feet slightly high on platform. Extend hips and knees. Release dock lever and grasp handles to sides.,Flex hips and knees to lower lever until hips are completely flexed. Push platform by extending knees and hips. Repeat.,"Gluteus Maximus,",,Hips,3,"Quadriceps, Gluteus Maximus, Adductors",5,7,23.71832074
Leg Presses:  Lying Leg Press,Lever (plate loaded),Basic,Compound,Push,Climb up steps to top of machine. Lie supine on horizontal padded platform with shoulders against pad. Place feet equally spaced and slightly high on platform. Grip handles above shoulder pads.,Push lever platform away by extending hips and knees until knees are straight. Return lever platform by flexing hips and knees until knees are just short of complete flexion or until hips are completely flexed. Repeat.,"Gluteus Maximus,",,Hips,3,"Quadriceps, Gluteus Maximus, Adductors",5,10,23.99327876
Leg Presses:  Seated Leg Press,Lever (plate loaded),Basic,Compound,Push,Sit on machine with back on padded support. Place feet slightly high on platform. Grasp handles to sides.,Push platform(s) away by extending knees and hips until knees are fully extended. Return until hips are completely flexed. Repeat.,"Gluteus Maximus,",,Hips,3,"Quadriceps, Gluteus Maximus, Adductors",4,9,22.97364528
Lying Hip Extension,Lever (plate loaded),Auxiliary,Isolated,Push,Lie on bench with knees legs over pads. Align hip joints with lever fulcrum. Strap hips down with belt. Grasp handles at each side.,Extend hips and knees until legs are straight. Return to original position by flexing hips and knees. Repeat.,"Gluteus Maximus,","Erector Spinae, ",Hips,2,"Gluteus Maximus, Hamstrings",4,10,22.01774612
Reverse Hyper-extension,Lever (plate loaded),Auxiliary,Isolated,Push,"Place one leg in strap so it is positioned above ankle. Step up onto step built on side of apparatus with other foot. Lay torso and waist on bench and grasp handles. Place stepping foot inside of strap, just in front of leg already in strap. Position legs side by side. Feet should be above floor with legs hanging straight down.",Raise lever by extending hips as high as possible with legs nearly straight. Lower legs to original position. Repeat.,"Gluteus Maximus,","Erector Spinae, ",Hips,3,"Erector Spinae, Gluteus Maximus, Hamstrings",4,11,22.72710174
Single Leg Split Squat,Lever (plate loaded),Auxiliary,Compound,Push,Stand between lever handles to sides. Extend leg back and place top of foot on cross bar. Squat down and grasp handles to sides.,"With chest high, lift lever by extending hips and knees to full extension. Return until knee of rear leg is almost in contact with floor. Repeat. Continue with opposite leg.","Gluteus Maximus,","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Gluteus Medius, Gluteus Minimus, ",Hips,4,"Quadriceps, Gluteus Maximus, Hamstrings",4,6,23.43941924
Single Leg Split Squat:  Single Leg Squat,Lever (plate loaded),Auxiliary,Compound,Push,Stand between handles facing away from fulcrum. Grasp both handles to sides and stand upright. Cross lower leg above knee of supporting leg.,"Bend knee forward slightly while allowing hips to bend back behind, keeping back straight and knee pointed same direction of foot. Squat down as low as possible. Extend knee and hip until leg is straight. Return and repeat. Continue with opposite leg.","Gluteus Maximus,","Erector Spinae, Gluteus Medius, Gluteus Minimus, Quadratus Lumborum, Obliques, ",Hips,4,"Quadriceps, Gluteus Maximus, Hamstrings",5,11,22.6658582
Split Squat,Lever (plate loaded),Auxiliary,Compound,Push,Stand between lever handles to sides. Place forefoot of one foot on floor to rear and other foot slightly forward. Squat down and grasp handles to sides.,"With chest high, lift lever by extending hips and knees to full extension. Return until knee of rear leg is almost in contact with floor and repeat. Continue with opposite leg.","Gluteus Maximus,","Erector Spinae, Trapezius, Upper, Trapezius, Lower, Levator Scapulae, Gluteus Medius, Gluteus Minimus, ",Hips,3,"Quadriceps, Gluteus Maximus, Hamstrings",5,7,23.15624276
Squat,Lever (plate loaded),Basic,Compound,Push,Squat down to place shoulders under padded lever. Place feet shoulder width apart slightly in front of shoulders. Extend knees and hips until legs are straight. Release support lever.,"Squat down by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet. Descend by bending knees and hip until thighs are just past parallel to floor. Lift lever up by extending knees and hips until legs are straight. Repeat.","Gluteus Maximus,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",3,12,23.27025002
Squat:  Front Squat,Lever (plate loaded),Basic,Compound,Push,Step onto platform facing padded levers. Squat down to place shoulders under padded lever. Place feet shoulder width apart on platform. Extend knees and hips until legs are straight. Release support lever if it does not disengage by itself.,"Lower lever by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel to floor. Lift lever up by extending knees and hips until legs are straight. Repeat.","Gluteus Maximus,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",5,6,23.66158125
Hip Extensions,Lever (selectorized),Auxiliary,Isolated,Push,"Step up onto platform. Position belly on wide pad, forearms on padded arm rest, and grip handles. Position bottom of foot on foot lever with lower leg under pad.",Push foot lever back by extending hip. Return leg to original position. Repeat. Reposition and continue with opposite leg.,"Gluteus Maximus,","Obliques, Erector Spinae, Quadratus Lumborum, Gluteus Medius, Gluteus Minimus, ",Hips,2,"Gluteus Maximus, Hamstrings",4,11,22.30871792
Hip Extensions:  Bent-over,Lever (selectorized),Auxiliary,Isolated,Push,"Step up onto platform. Position belly on wide pad, forearms on padded arm rest, and grip handles. Position bottom of foot on foot lever with lower leg under pad.",Push foot lever back by extending hip. Return leg to original position. Repeat. Reposition and continue with opposite leg.,"Gluteus Maximus,","Obliques, Erector Spinae, Quadratus Lumborum, Gluteus Medius, Gluteus Minimus, ",Hips,2,"Gluteus Maximus, Hamstrings",4,10,23.11195929
Hip Extensions:  Lying,Lever (selectorized),Auxiliary,Isolated,Push,"With leg lever positioned in the lower position, lie supine on machine with legs over padded bar. Align hip joints with lever fulcrum. Strap hips down with belt if available. Release leg lever and adjust until leg lever is in upper position. Grasp handles to sides of head.",Push padded leg bar down until hips are extended. Return and repeat.,"Gluteus Maximus,","Erector Spinae, ",Hips,2,"Gluteus Maximus, Hamstrings",5,10,23.51181828
"Hip Extensions:  Standing

alternative machine

",Lever (selectorized),Auxiliary,Isolated,Push,Stand on platform facing to one side and grasp bar for support. Place leg nearest machine on padded roller while standing on other leg.,Lower lever by extending hip. Return until knee is higher than hip. Repeat. Continue with opposite leg.,"Gluteus Maximus,","Obliques, Erector Spinae, Quadratus Lumborum, Gluteus Medius, Gluteus Minimus, ",Hips,2,"Gluteus Maximus, Hamstrings",5,7,22.28531248
Leg Presses,Lever (selectorized),Basic,Compound,Push,Sit on machine with back on padded support. Place feet slightly high on platform. Grasp handles to sides.,Extend knees and hips until knees are fully extended. Return until hips are completely flexed. Repeat.,"Gluteus Maximus,",,Hips,3,"Quadriceps, Gluteus Maximus, Adductors",5,8,23.27487521
Leg Presses:  Seated Leg Press,Lever (selectorized),Basic,Compound,Push,Sit on machine with back on padded support. Place feet slightly high on platform. Grasp handles to sides.,Extend knees and hips until knees are fully extended. Return until hips are completely flexed. Repeat.,"Gluteus Maximus,",,Hips,3,"Quadriceps, Gluteus Maximus, Adductors",5,10,22.31308794
Glute Kickback,Lever (selectorized),Auxiliary,Compound,Push,Lean over padded surface and grasp handles. Bend knee and position foot against lever platform or pedal.,Push platform or pedal back by extending leg. Return leg to original position. Repeat. Continue with opposite leg.,"Gluteus Maximus,","Obliques, Erector Spinae, Quadratus Lumborum, Gluteus Medius, Gluteus Minimus, Coracobrachialis, ",Hips,2,"Gluteus Maximus, Hamstrings",4,10,22.17401765
Glute Kickback:  Bent-over,Lever (selectorized),Auxiliary,Compound,Push,Lean over padded surface and grasp handles. Bend knee and position foot against lever platform or pedal.,Push platform or pedal back by extending leg. Return leg to original position. Repeat. Continue with opposite leg.,"Gluteus Maximus,","Obliques, Erector Spinae, Quadratus Lumborum, Gluteus Medius, Gluteus Minimus, Coracobrachialis, ",Hips,2,"Gluteus Maximus, Hamstrings",3,8,22.41711792
Glute Kickback:  Kneeling,Lever (selectorized),Auxiliary,Compound,Push,"Kneel on machine by placing one knee on lower pad. Rest torso on middle pad, place forearms on padded arm rest, and grip handles. Position other foot of other leg up to lever platform.",Push platform back by extending leg back. Return leg to original position and repeat. Continue with opposite leg.,"Gluteus Maximus,","Erector Spinae, Quadratus Lumborum, Obliques, Gluteus Medius, Gluteus Minimus, Coracobrachialis, ",Hips,2,"Gluteus Maximus, Hamstrings",4,9,22.99082935
Glute Kickback:  Standing,Lever (selectorized),Auxiliary,Compound,Push,Step on left platform with left foot. Grasp handle bars to each side. Place right foot on highest lever platform.,Push platform down by extending leg until straight. Return leg to original position. Repeat. Continue with opposite leg positions.,"Gluteus Maximus,","Obliques, Erector Spinae, Quadratus Lumborum, Gluteus Medius, Gluteus Minimus, Coracobrachialis, ",Hips,2,"Gluteus Maximus, Hamstrings",3,12,23.48934688
Squat,Lever (selectorized),Basic,Compound,Push,Squat down to place shoulders under padded lever. Place feet shoulder width apart slightly in front of shoulders.,"Raise lever up by extending knees and hips until legs are straight. Squat down by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel to floor. Return and repeat.","Gluteus Maximus,","Erector Spinae, Trapezius, Upper, Trapezius, Middle, Levator Scapulae, ",Hips,4,"Quadriceps, Gluteus Maximus, Adductors",4,10,23.15410765
Squat:  V-Squat,Lever (selectorized),Basic or Auxiliary,Compound,Push,"Position shoulders under shoulder pads with back against back pad. Place feet on platform, shoulder or hip width apart. Squeeze hand lever. Keeping hand lever squeezed, squat down by bending hips and knees until knees or hips are just short of complete flexion. Release hand lever and raise up on sled just slightly until weight stack is engaged (click is heard).",Raise lever by extending knees and hips until legs are straight. Squat down with knees pointed same direction as feet. Descend until knees or hips are near complete flexion. Repeat.,"Gluteus Maximus,",,Hips,4,"Quadriceps, Gluteus Maximus, Adductors",5,12,22.27197556
Leg Presses,Sled,Basic,Compound,Push,Sit on machine with back on padded support. Place feet slightly high on platform. Extend hips and knees. Release dock lever and grasp handles to sides.,Lower sled by flexing hips and knees until knees are just short of complete flexion or until hips are completely flexed. Return by extending knees and hips. Repeat.,"Gluteus Maximus,",,Hips,3,"Quadriceps, Gluteus Maximus, Adductors",5,6,22.54863169
Leg Presses:  45° Leg Press,Sled,Basic,Compound,Push,Sit on machine with back on padded support. Place feet slightly high on platform. Extend hips and knees. Release dock lever and grasp handles to sides.,Lower sled by flexing hips and knees until knees are just short of complete flexion or until hips are completely flexed. Return by extending knees and hips. Repeat.,"Gluteus Maximus,",,Hips,3,"Quadriceps, Gluteus Maximus, Adductors",3,11,23.71688388
Leg Presses:  Lying Leg Press,Sled,Basic,Compound,Push,Lie supine on platform with shoulders against pad. Place feet slightly high on platform.,Extend hips and knees. Return until hips are completely flexed. Repeat.,"Gluteus Maximus,",,Hips,3,"Quadriceps, Gluteus Maximus, Adductors",5,12,22.27313699
Leg Presses:  Seated Leg Press,Sled,Basic,Compound,Push,Sit on machine with back on padded support. Place feet slightly high on platform. Grasp handles to sides.,Extend knees and hips until knees are fully extended. Return until hips are completely flexed. Repeat.,"Gluteus Maximus,",,Hips,3,"Quadriceps, Gluteus Maximus, Adductors",5,10,23.44528826
Glute Kickback,Sled,Auxiliary,Compound,Push,"Kneel on machine by placing knees on lower pad and feet against bars to rear, if available. Place forearms on padded armrest, and grip handles. Position one foot up so middle of sole is positioned under foot bar.",Push foot bar up by extending leg   back as far as possible. Return leg to original position and repeat. Continue with opposite leg.,"Gluteus Maximus,","Obliques, Erector Spinae, Quadratus Lumborum, Gluteus Medius, Gluteus Minimus, ",Hips,2,"Gluteus Maximus, Hamstrings",5,6,23.77742145
Glute Kickback:  Kneeling,Sled,Auxiliary,Compound,Push,"Kneel on machine by placing knees on lower pad and feet against bars to rear, if available. Place forearms on padded armrest, and grip handles. Position one foot up so middle of sole is positioned under foot bar.",Push foot bar up by extending leg   back as far as possible. Return leg to original position and repeat. Continue with opposite leg.,"Gluteus Maximus,","Obliques, Erector Spinae, Quadratus Lumborum, Gluteus Medius, Gluteus Minimus, ",Hips,2,"Gluteus Maximus, Hamstrings",3,7,23.57408949
Glute Kickback:  Standing,Sled,Auxiliary,Compound,Push,Straddle sled and place foot on pedal. Place chest on pad and grasp handles.,Push platform back by extending leg   back until straight. Return leg to original position. Repeat. Continue with opposite leg.,"Gluteus Maximus,","Obliques, Erector Spinae, Quadratus Lumborum, Gluteus Medius, Gluteus Minimus, ",Hips,2,"Gluteus Maximus, Hamstrings",3,8,23.0499081
Squat,Sled,Basic,Compound,Push,"Squat down to place shoulders under padded bars. Lean back against back pad if available. Place feet shoulder width apart, slightly in front of shoulders.","If hand or lever lock is available, disengage weight, squat to lowest position and re-engage lock. Lift sled by extending knees and hips until legs are straight. Lower sled by bending knees forward slightly while allowing hips to bend back behind, keeping back straight and knees pointed same direction as feet. Descend until thighs are just past parallel to floor. Return and repeat.","Gluteus Maximus,",,Hips,4,"Quadriceps, Gluteus Maximus, Adductors",3,11,23.17019452
Squat:  Hack Squat,Sled,Basic or Auxiliary,Compound,Push,Lie supine on platform with shoulders against pad. Place feet high up on platform. Extend hips and knees. Release dock levers.,Lower sled by flexing hips and knees until hips are completely flexed. Raise sled by extending knees and hips. Repeat.,"Gluteus Maximus,",,Hips,4,"Quadriceps, Gluteus Maximus, Adductors",4,6,22.40667922
Deadlift,Smith,Basic,Compound,Pull,Stand with shoulder width or narrower stance with feet flat beneath bar. Grasp bar with shoulder width or slightly wider mixed grip or slightly wider. Disengage bar by rotating bar back.,"Return weight toward floor by bending hips back while allowing knees to bend forward slightly, keeping back straight and knees pointed same direction as feet. Lift bar by extending hips and knees to full extension. Pull shoulders back at top of lift if rounded. Return and repeat.","Gluteus Maximus,","Erector Spinae, Trapezius, Middle, Trapezius, Upper, Levator Scapulae, Rhomboids, ",Hips,5,"Erector Spinae, Trapezius, Quadriceps",3,8,23.59875327
